2015-03-02 22:38:14 - PHP Notice:  Undefined index: email in /opt/lampp/htdocs/dosika/GiftShop/catalog/controller/account/login.php on line 181
2015-03-05 23:27:18 - PHP Notice:  Undefined variable: continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-05 23:27:18 - PHP Notice:  Undefined variable: button_continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-16 0:12:37 - PHP Notice:  Undefined variable: continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-16 0:12:37 - PHP Notice:  Undefined variable: button_continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-17 10:16:54 - PHP Notice:  Undefined variable: continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-17 10:16:54 - PHP Notice:  Undefined variable: button_continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-18 19:12:00 - PHP Notice:  Undefined variable: continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-18 19:12:00 - PHP Notice:  Undefined variable: button_continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-23 17:51:15 - PHP Notice:  Undefined variable: continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-23 17:51:15 - PHP Notice:  Undefined variable: button_continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-26 12:08:03 - PHP Notice:  Undefined variable: continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-26 12:08:03 - PHP Notice:  Undefined variable: button_continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-26 12:08:43 - PHP Notice:  Undefined variable: continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-03-26 12:08:43 - PHP Notice:  Undefined variable: button_continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
2015-04-04 23:47:58 - PHP Notice:  Undefined variable: continue in /opt/lampp/htdocs/dosika/GiftShop/catalog/view/theme/default/template/product/special.tpl on line 105
